Type;VSE;
-0.95406240224838257;0.95639151334762573
0.95581072568893433;-0.95820766687393188
-0.31797555088996887;-0.31975990533828735
-0.31712910532951355;0.95840275287628174
-0.95690947771072388;-0.95685434341430664
0.31830731034278870;-0.95524579286575317
0.31932866573333740;0.31615918874740601
-0.31765377521514893;-0.32082808017730713
-0.95615756511688232;0.95643454790115356
-0.95561867952346802;0.32036784291267395
0.95538240671157837;0.31828302145004272
-0.31687319278717041;-0.95666271448135376
0.95602077245712280;-0.31972849369049072
0.95803916454315186;0.31879526376724243
0.95730859041213989;0.95543920993804932
0.31967887282371521;0.31740030646324158
0.95704340934753418;-0.95645457506179810
0.95502406358718872;-0.95833510160446167
-0.31979987025260925;-0.95511889457702637
-0.95778053998947144;-0.31933012604713440
-0.31797966361045837;-0.95743781328201294
-0.31809335947036743;-0.32056328654289246
-0.95459812879562378;0.95734483003616333
-0.31672647595405579;0.95699059963226318
0.31974214315414429;0.95584380626678467
-0.31938537955284119;-0.31976562738418579
0.95770895481109619;0.31920549273490906
0.95672416687011719;0.95387893915176392
-0.95749104022979736;0.32149973511695862
-0.32091540098190308;-0.32047069072723389
-0.31711950898170471;0.31942144036293030
0.31815570592880249;-0.95647937059402466
0.95608884096145630;-0.31929194927215576
0.31933507323265076;0.31846806406974792
0.95650082826614380;0.31897550821304321
-0.31856390833854675;0.95463681221008301
0.95708322525024414;0.31921789050102234
-0.95725750923156738;-0.95675611495971680
0.95619177818298340;0.95636808872222900
0.31889823079109192;-0.31928524374961853
-0.31806081533432007;0.95753818750381470
-0.95527118444442749;-0.32014718651771545
0.95597469806671143;-0.95416802167892456
0.95639348030090332;0.31692478060722351
0.31796038150787354;-0.31653288006782532
-0.31862241029739380;0.31948038935661316
-0.32019549608230591;-0.31777295470237732
0.95554333925247192;-0.32017260789871216
0.31775322556495667;-0.31895905733108521
0.31853327155113220;-0.95808410644531250
0.31838330626487732;-0.95684200525283813
0.31730958819389343;-0.95586901903152466
0.95585465431213379;0.31773358583450317
0.31803536415100098;-0.95736885070800781
-0.31800258159637451;0.95712298154830933
-0.95892751216888428;-0.31852889060974121
0.95573353767395020;0.95422589778900146
0.31826451420783997;-0.95629709959030151
-0.31852772831916809;0.31928530335426331
-0.31860783696174622;-0.31769257783889771
0.31822761893272400;0.95612704753875732
0.32024556398391724;0.31862550973892212
-0.31876862049102783;0.95549839735031128
0.95566153526306152;0.31868430972099304
-0.95777678489685059;0.95737528800964355
0.95510822534561157;-0.95615059137344360
-0.31982332468032837;0.31814095377922058
-0.95607477426528931;-0.31803813576698303
0.95504814386367798;0.95743602514266968
0.95448255538940430;0.31662982702255249
-0.32004618644714355;-0.31795549392700195
0.31924262642860413;0.31796342134475708
0.95637023448944092;-0.31706735491752625
-0.31942346692085266;-0.95869529247283936
-0.95568656921386719;-0.31812778115272522
0.31739866733551025;0.31743678450584412
-0.95521700382232666;-0.95629161596298218
-0.31985628604888916;0.95742326974868774
-0.95665484666824341;0.32000237703323364
0.31900212168693542;-0.31873205304145813
-0.32068702578544617;0.31852555274963379
0.95431119203567505;0.32004427909851074
0.95408093929290771;0.31785696744918823
0.31832724809646606;-0.31933614611625671
0.31785389780998230;0.95630854368209839
0.95503669977188110;0.95451283454895020
-0.31798097491264343;-0.31952446699142456
